request;permission;role
I need to update basic properties on device registration policies.;microsoft.directory/deviceRegistrationPolicy/basic/update;Device Registration Policy Admin
I need to update basic properties on device registration policies.;microsoft.directory/deviceRegistrationPolicy/basic/update;Device Registration Policy Admin
I need to update basic properties on device registration policies.;microsoft.directory/deviceRegistrationPolicy/basic/update;Device Registration Policy Admin
I need to update basic properties on device registration policies.;microsoft.directory/deviceRegistrationPolicy/basic/update;Device Registration Policy Admin
I need to update basic properties on device registration policies.;microsoft.directory/deviceRegistrationPolicy/basic/update;Device Registration Policy Admin
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/update;Conditional Access Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/update;Conditional Access Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/update;Conditional Access Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/update;Conditional Access Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/basic/update;Conditional Access Administrator
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;NONE
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;NONE
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;NONE
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;NONE
I need to read standard properties of federation configuration for domains.;microsoft.directory/domains/federationConfiguration/standard/read;NONE
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/allProperties/update;Insights Business Leader
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Identity Governance Administrator
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Identity Governance Administrator
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Identity Governance Administrator
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Identity Governance Administrator
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Identity Governance Administrator
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;NONE
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;NONE
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;NONE
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;NONE
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/multiTenantOrganization/tenants/standard/read;NONE
I need to read owners of policies.;microsoft.directory/policies/owners/read;NONE
I need to read owners of policies.;microsoft.directory/policies/owners/read;NONE
I need to read owners of policies.;microsoft.directory/policies/owners/read;NONE
I need to read owners of policies.;microsoft.directory/policies/owners/read;NONE
I need to read owners of policies.;microsoft.directory/policies/owners/read;NONE
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Application Developer
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Application Developer
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Application Developer
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Application Developer
I need to grant consent for any permission to any application.;microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks;Application Developer
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;NONE
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;NONE
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;NONE
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;NONE
I need to read all properties of directory roles.;microsoft.directory/directoryRoleTemplates/allProperties/read;NONE
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read;NONE
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read;NONE
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read;NONE
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read;NONE
I need to read basic properties on an organization.;microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read;NONE
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;NONE
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;NONE
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;NONE
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;NONE
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;NONE
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;NONE
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;NONE
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;NONE
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;NONE
I need to read policies.policyAppliedTo property.;microsoft.directory/applicationPolicies/policyAppliedTo/read;NONE
I need to read all aspects of Viva Insights.;microsoft.viva.glint/allEntities/allProperties/allTasks;Viva Glint Tenant Administrator
I need to read all aspects of Viva Insights.;microsoft.viva.glint/allEntities/allProperties/allTasks;Viva Glint Tenant Administrator
I need to read all aspects of Viva Insights.;microsoft.viva.glint/allEntities/allProperties/allTasks;Viva Glint Tenant Administrator
I need to read all aspects of Viva Insights.;microsoft.viva.glint/allEntities/allProperties/allTasks;Viva Glint Tenant Administrator
I need to read all aspects of Viva Insights.;microsoft.viva.glint/allEntities/allProperties/allTasks;Viva Glint Tenant Administrator
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Reader
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Reader
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Reader
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Reader
I need to update custom security attribute values for devices.;microsoft.directory/devices/customSecurityAttributes/update;Attribute Assignment Reader
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/create;NONE
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/create;NONE
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/create;NONE
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/create;NONE
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/create;NONE
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Helpdesk Administrator
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Helpdesk Administrator
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Helpdesk Administrator
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Helpdesk Administrator
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Helpdesk Administrator
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Dynamics 365 Business Central Administrator
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Dynamics 365 Business Central Administrator
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Dynamics 365 Business Central Administrator
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Dynamics 365 Business Central Administrator
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read;Dynamics 365 Business Central Administrator
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;NONE
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;NONE
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;NONE
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;NONE
I need to read all properties of private network connectors.;microsoft.directory/connectors/allProperties/read;NONE
I need to manage aspects of Microsoft Graph Data Connect.;microsoft.graph.dataConnect/allEntities/allProperties/allTasks;NONE
I need to manage aspects of Microsoft Graph Data Connect.;microsoft.graph.dataConnect/allEntities/allProperties/allTasks;NONE
I need to manage aspects of Microsoft Graph Data Connect.;microsoft.graph.dataConnect/allEntities/allProperties/allTasks;NONE
I need to manage aspects of Microsoft Graph Data Connect.;microsoft.graph.dataConnect/allEntities/allProperties/allTasks;NONE
I need to manage aspects of Microsoft Graph Data Connect.;microsoft.graph.dataConnect/allEntities/allProperties/allTasks;NONE
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Identity Governance Administrator
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Identity Governance Administrator
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Identity Governance Administrator
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Identity Governance Administrator
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Identity Governance Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Definition Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.directory/certificateBasedDeviceAuthConfigurations/delete;IoT Device Administrator
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;NONE
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;NONE
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;NONE
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;NONE
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups.security/dynamicMembershipRule/update;NONE
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Device Reader
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Device Reader
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Device Reader
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Device Reader
I need to read basic properties on devices.;microsoft.directory/devices/allProperties/read;Device Reader
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician
I need to update basic properties of printers in Microsoft Print.;microsoft.azure.print/printers/basic/update;Printer Technician
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Privileged Role Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Privileged Role Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Privileged Role Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Privileged Role Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/allTasks;Privileged Role Administrator
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Conditional Access Administrator
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Conditional Access Administrator
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Conditional Access Administrator
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Conditional Access Administrator
I need to create Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/create;Conditional Access Administrator
I need to manage all aspects of Dynamics 365.;microsoft.dynamics365/allEntities/allTasks;Dynamics 365 Administrator
I need to manage all aspects of Dynamics 365.;microsoft.dynamics365/allEntities/allTasks;Dynamics 365 Administrator
I need to manage all aspects of Dynamics 365.;microsoft.dynamics365/allEntities/allTasks;Dynamics 365 Administrator
I need to manage all aspects of Dynamics 365.;microsoft.dynamics365/allEntities/allTasks;Dynamics 365 Administrator
I need to manage all aspects of Dynamics 365.;microsoft.dynamics365/allEntities/allTasks;Dynamics 365 Administrator
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer
I need to create all types of applications.;microsoft.directory/applications/createAsOwner;Application Developer
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/standard/read;NONE
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/standard/read;NONE
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/standard/read;NONE
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/standard/read;NONE
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/standard/read;NONE
I need to perform the ``enable directory feature`` service action.;microsoft.directory/serviceAction/enableDirectoryFeature;NONE
I need to perform the ``enable directory feature`` service action.;microsoft.directory/serviceAction/enableDirectoryFeature;NONE
I need to perform the ``enable directory feature`` service action.;microsoft.directory/serviceAction/enableDirectoryFeature;NONE
I need to perform the ``enable directory feature`` service action.;microsoft.directory/serviceAction/enableDirectoryFeature;NONE
I need to perform the ``enable directory feature`` service action.;microsoft.directory/serviceAction/enableDirectoryFeature;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;NONE
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update;NONE
