request;permission;role
I need to update basic properties on device registration policies.;microsoft.directory/policies/basic/update;Intune Administrator
I need to update basic properties on device registration policies.;microsoft.directory/policies/basic/update;Intune Administrator
I need to update basic properties on device registration policies.;microsoft.directory/policies/basic/update;Intune Administrator
I need to update basic properties on device registration policies.;microsoft.directory/policies/basic/update;Intune Administrator
I need to update basic properties on device registration policies.;microsoft.directory/policies/basic/update;Intune Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
I need to manage all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/allProperties/allTasks;Conditional Access Administrator
I need to read standard properties of federation configuration for domains.;microsoft.directory/federationConfigurations/standard/read;Global Reader
I need to read standard properties of federation configuration for domains.;microsoft.directory/federationConfigurations/standard/read;Global Reader
I need to read standard properties of federation configuration for domains.;microsoft.directory/federationConfigurations/standard/read;Global Reader
I need to read standard properties of federation configuration for domains.;microsoft.directory/federationConfigurations/standard/read;Global Reader
I need to read standard properties of federation configuration for domains.;microsoft.directory/federationConfigurations/standard/read;Global Reader
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/write;Insights Administrator
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/write;Insights Administrator
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/write;Insights Administrator
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/write;Insights Administrator
I need to deploy and manage programs in Insights app.;microsoft.insights/programs/write;Insights Administrator
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/policy/adminConsentRequestPolicy/allProperties/allTasks;Policy Admin
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/policy/adminConsentRequestPolicy/allProperties/allTasks;Policy Admin
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/policy/adminConsentRequestPolicy/allProperties/allTasks;Policy Admin
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/policy/adminConsentRequestPolicy/allProperties/allTasks;Policy Admin
I need to manage admin consent request policies in Microsoft Entra ID.;microsoft.directory/policy/adminConsentRequestPolicy/allProperties/allTasks;Policy Admin
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/tenantDetails/basic/read;Directory Reader
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/tenantDetails/basic/read;Directory Reader
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/tenantDetails/basic/read;Directory Reader
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/tenantDetails/basic/read;Directory Reader
I need to read basic properties of a tenant participating in a multi-tenant organization.;microsoft.directory/tenantDetails/basic/read;Directory Reader
I need to read owners of policies.;microsoft.directory/policies/owners/read;Policy Reader
I need to read owners of policies.;microsoft.directory/policies/owners/read;Policy Reader
I need to read owners of policies.;microsoft.directory/policies/owners/read;Policy Reader
I need to read owners of policies.;microsoft.directory/policies/owners/read;Policy Reader
I need to read owners of policies.;microsoft.directory/policies/owners/read;Policy Reader
I need to grant consent for any permission to any application.;microsoft.directory/consent;Cloud Application Administrator
I need to grant consent for any permission to any application.;microsoft.directory/consent;Cloud Application Administrator
I need to grant consent for any permission to any application.;microsoft.directory/consent;Cloud Application Administrator
I need to grant consent for any permission to any application.;microsoft.directory/consent;Cloud Application Administrator
I need to grant consent for any permission to any application.;microsoft.directory/consent;Cloud Application Administrator
I need to read all properties of directory roles.;Directory.Read.All;Directory Reader
I need to read all properties of directory roles.;Directory.Read.All;Directory Reader
I need to read all properties of directory roles.;Directory.Read.All;Directory Reader
I need to read all properties of directory roles.;Directory.Read.All;Directory Reader
I need to read all properties of directory roles.;Directory.Read.All;Directory Reader
I need to read basic properties on an organization.;microsoft.directory/organization/basic/read;Directory Reader
I need to read basic properties on an organization.;microsoft.directory/organization/basic/read;Directory Reader
I need to read basic properties on an organization.;microsoft.directory/organization/basic/read;Directory Reader
I need to read basic properties on an organization.;microsoft.directory/organization/basic/read;Directory Reader
I need to read basic properties on an organization.;microsoft.directory/organization/basic/read;Directory Reader
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator
I need to disable service principals.;microsoft.directory/servicePrincipals/disable;Cloud Application Administrator
I need to read policies.policyAppliedTo property.;NONE;NONE
I need to read policies.policyAppliedTo property.;NONE;NONE
I need to read policies.policyAppliedTo property.;NONE;NONE
I need to read policies.policyAppliedTo property.;NONE;NONE
I need to read policies.policyAppliedTo property.;NONE;NONE
I need to read all aspects of Viva Insights.;VivaInsights.Read.All;Insights Administrator
I need to read all aspects of Viva Insights.;VivaInsights.Read.All;Insights Administrator
I need to read all aspects of Viva Insights.;VivaInsights.Read.All;Insights Administrator
I need to read all aspects of Viva Insights.;VivaInsights.Read.All;Insights Administrator
I need to read all aspects of Viva Insights.;VivaInsights.Read.All;Insights Administrator
I need to update custom security attribute values for devices.;microsoft.directory/devices/update;Device Administrator
I need to update custom security attribute values for devices.;microsoft.directory/devices/update;Device Administrator
I need to update custom security attribute values for devices.;microsoft.directory/devices/update;Device Administrator
I need to update custom security attribute values for devices.;microsoft.directory/devices/update;Device Administrator
I need to update custom security attribute values for devices.;microsoft.directory/devices/update;Device Administrator
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/write;Conditional Access Administrator
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/write;Conditional Access Administrator
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/write;Conditional Access Administrator
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/write;Conditional Access Administrator
I need to create custom rules that define network locations.;microsoft.directory/namedLocations/write;Conditional Access Administrator
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Reader
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Reader
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Reader
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Reader
I need to read members of administrative units.;microsoft.directory/administrativeUnits/members/read;Directory Reader
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.graph.reportRoot/contentUnderstanding;Reports Reader
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.graph.reportRoot/contentUnderstanding;Reports Reader
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.graph.reportRoot/contentUnderstanding;Reports Reader
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.graph.reportRoot/contentUnderstanding;Reports Reader
I need to read analytics reports of content understanding in Microsoft 365 admin center.;microsoft.graph.reportRoot/contentUnderstanding;Reports Reader
I need to read all properties of private network connectors.;Microsoft.Network/privateEndpoints/read;Reader
I need to read all properties of private network connectors.;Microsoft.Network/privateEndpoints/read;Reader
I need to read all properties of private network connectors.;Microsoft.Network/privateEndpoints/read;Reader
I need to read all properties of private network connectors.;Microsoft.Network/privateEndpoints/read;Reader
I need to read all properties of private network connectors.;Microsoft.Network/privateEndpoints/read;Reader
I need to manage aspects of Microsoft Graph Data Connect.;Microsoft.GraphDataConnect/dataConnect/manage;Data Connect Admin
I need to manage aspects of Microsoft Graph Data Connect.;Microsoft.GraphDataConnect/dataConnect/manage;Data Connect Admin
I need to manage aspects of Microsoft Graph Data Connect.;Microsoft.GraphDataConnect/dataConnect/manage;Data Connect Admin
I need to manage aspects of Microsoft Graph Data Connect.;Microsoft.GraphDataConnect/dataConnect/manage;Data Connect Admin
I need to manage aspects of Microsoft Graph Data Connect.;Microsoft.GraphDataConnect/dataConnect/manage;Data Connect Admin
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Access Reviewer
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Access Reviewer
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Access Reviewer
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Access Reviewer
I need to manage access reviews of application role assignments in Microsoft Entra ID.;microsoft.directory/accessReviews/allProperties/allTasks;Access Reviewer
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Assignment Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Assignment Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Assignment Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Assignment Administrator
I need to manage all aspects of attribute sets.;microsoft.directory/attributeSets/allProperties/allTasks;Attribute Assignment Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.certificateregistration/certificateAuthorities/delete;IoT Device Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.certificateregistration/certificateAuthorities/delete;IoT Device Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.certificateregistration/certificateAuthorities/delete;IoT Device Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.certificateregistration/certificateAuthorities/delete;IoT Device Administrator
I need to delete certificate authority configurations for Internet of Things (IoT) device.;microsoft.certificateregistration/certificateAuthorities/delete;IoT Device Administrator
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups/updateDynamicMembership;Groups Administrator
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups/updateDynamicMembership;Groups Administrator
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups/updateDynamicMembership;Groups Administrator
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups/updateDynamicMembership;Groups Administrator
I need to update the dynamic membership rule on Security groups, excluding role-assignable groups.;microsoft.directory/groups/updateDynamicMembership;Groups Administrator
I need to read basic properties on devices.;microsoft.directory/devices/basic/read;Directory Reader
I need to read basic properties on devices.;microsoft.directory/devices/basic/read;Directory Reader
I need to read basic properties on devices.;microsoft.directory/devices/basic/read;Directory Reader
I need to read basic properties on devices.;microsoft.directory/devices/basic/read;Directory Reader
I need to read basic properties on devices.;microsoft.directory/devices/basic/read;Directory Reader
I need to update basic properties of printers in Microsoft Print.;microsoft.graph.printer/basic/update;Printer Administrator
I need to update basic properties of printers in Microsoft Print.;microsoft.graph.printer/basic/update;Printer Administrator
I need to update basic properties of printers in Microsoft Print.;microsoft.graph.printer/basic/update;Printer Administrator
I need to update basic properties of printers in Microsoft Print.;microsoft.graph.printer/basic/update;Printer Administrator
I need to update basic properties of printers in Microsoft Print.;microsoft.graph.printer/basic/update;Printer Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/read;Application Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/read;Application Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/read;Application Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/read;Application Administrator
I need to read all properties (including privileged properties) on all types of applications.;microsoft.directory/applications/allProperties/read;Application Administrator
I need to create Conditional Access policies.;microsoft.directory/policies/conditionalAccess/create;Conditional Access Administrator
I need to create Conditional Access policies.;microsoft.directory/policies/conditionalAccess/create;Conditional Access Administrator
I need to create Conditional Access policies.;microsoft.directory/policies/conditionalAccess/create;Conditional Access Administrator
I need to create Conditional Access policies.;microsoft.directory/policies/conditionalAccess/create;Conditional Access Administrator
I need to create Conditional Access policies.;microsoft.directory/policies/conditionalAccess/create;Conditional Access Administrator
I need to manage all aspects of Dynamics 365.;NONE;Dynamics 365 Administrator
I need to manage all aspects of Dynamics 365.;NONE;Dynamics 365 Administrator
I need to manage all aspects of Dynamics 365.;NONE;Dynamics 365 Administrator
I need to manage all aspects of Dynamics 365.;NONE;Dynamics 365 Administrator
I need to manage all aspects of Dynamics 365.;NONE;Dynamics 365 Administrator
I need to create all types of applications.;microsoft.directory/applications/create;Cloud Application Administrator
I need to create all types of applications.;microsoft.directory/applications/create;Cloud Application Administrator
I need to create all types of applications.;microsoft.directory/applications/create;Cloud Application Administrator
I need to create all types of applications.;microsoft.directory/applications/create;Cloud Application Administrator
I need to create all types of applications.;microsoft.directory/applications/create;Cloud Application Administrator
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/read;Conditional Access Administrator
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/read;Conditional Access Administrator
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/read;Conditional Access Administrator
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/read;Conditional Access Administrator
I need to read all properties of Conditional Access policies.;microsoft.directory/conditionalAccessPolicies/read;Conditional Access Administrator
I need to perform the ``enable directory feature`` service action.;microsoft.directory/features/enable;Directory Reader
I need to perform the ``enable directory feature`` service action.;microsoft.directory/features/enable;Directory Reader
I need to perform the ``enable directory feature`` service action.;microsoft.directory/features/enable;Directory Reader
I need to perform the ``enable directory feature`` service action.;microsoft.directory/features/enable;Directory Reader
I need to perform the ``enable directory feature`` service action.;microsoft.directory/features/enable;Directory Reader
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/policies/default/update;Global Administrator
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/policies/default/update;Global Administrator
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/policies/default/update;Global Administrator
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/policies/default/update;Global Administrator
I need to update Microsoft Entra B2B direct connect settings of the default cross-tenant access policy.;microsoft.directory/policies/default/update;Global Administrator
I need to manage all aspects of Azure Information Protection.;microsoft.informationProtection/allEntities/allTasks;Information Protection Administrator
I need to manage all aspects of Azure Information Protection.;microsoft.informationProtection/allEntities/allTasks;Information Protection Administrator
I need to manage all aspects of Azure Information Protection.;microsoft.informationProtection/allEntities/allTasks;Information Protection Administrator
I need to manage all aspects of Azure Information Protection.;microsoft.informationProtection/allEntities/allTasks;Information Protection Administrator
I need to manage all aspects of Azure Information Protection.;microsoft.informationProtection/allEntities/allTasks;Information Protection Administrator
I need to read standard properties of all resources in the Security and Compliance centers.;microsoft.security/securityActions/read;Security Reader
I need to read standard properties of all resources in the Security and Compliance centers.;microsoft.security/securityActions/read;Security Reader
I need to read standard properties of all resources in the Security and Compliance centers.;microsoft.security/securityActions/read;Security Reader
I need to read standard properties of all resources in the Security and Compliance centers.;microsoft.security/securityActions/read;Security Reader
I need to read standard properties of all resources in the Security and Compliance centers.;microsoft.security/securityActions/read;Security Reader
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;microsoft.directory/devices/extensionAttributes/update;Device Administrator
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;microsoft.directory/devices/extensionAttributes/update;Device Administrator
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;microsoft.directory/devices/extensionAttributes/update;Device Administrator
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;microsoft.directory/devices/extensionAttributes/update;Device Administrator
I need to update the extensionAttribute11 to extensionAttribute15 properties on devices.;microsoft.directory/devices/extensionAttributes/update;Device Administrator
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator
I need to update authentication properties on service principals.;microsoft.directory/servicePrincipals/authentication/update;Application Administrator
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Device Administrator
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Device Administrator
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Device Administrator
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Device Administrator
I need to update basic properties on devices.;microsoft.directory/devices/basic/update;Device Administrator
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Reader
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Reader
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Reader
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Reader
I need to read service principal role assignments.;microsoft.directory/servicePrincipals/appRoleAssignedTo/read;Directory Reader
I need to disable users.;microsoft.directory/users/disable;User Administrator
I need to disable users.;microsoft.directory/users/disable;User Administrator
I need to disable users.;microsoft.directory/users/disable;User Administrator
I need to disable users.;microsoft.directory/users/disable;User Administrator
I need to disable users.;microsoft.directory/users/disable;User Administrator
I need to update basic federation configuration for domains.;microsoft.directory/federationConfigurations/basic/update;Global Administrator
I need to update basic federation configuration for domains.;microsoft.directory/federationConfigurations/basic/update;Global Administrator
I need to update basic federation configuration for domains.;microsoft.directory/federationConfigurations/basic/update;Global Administrator
I need to update basic federation configuration for domains.;microsoft.directory/federationConfigurations/basic/update;Global Administrator
I need to update basic federation configuration for domains.;microsoft.directory/federationConfigurations/basic/update;Global Administrator
I need to read trusted certificate authorities for passwordless authentication.;microsoft.directory/trustedCertificateAuthorities/basic/read;Directory Reader
I need to read trusted certificate authorities for passwordless authentication.;microsoft.directory/trustedCertificateAuthorities/basic/read;Directory Reader
I need to read trusted certificate authorities for passwordless authentication.;microsoft.directory/trustedCertificateAuthorities/basic/read;Directory Reader
I need to read trusted certificate authorities for passwordless authentication.;microsoft.directory/trustedCertificateAuthorities/basic/read;Directory Reader
I need to read trusted certificate authorities for passwordless authentication.;microsoft.directory/trustedCertificateAuthorities/basic/read;Directory Reader
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/roleEligibilitySchedules/read;Directory Reader
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/roleEligibilitySchedules/read;Directory Reader
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/roleEligibilitySchedules/read;Directory Reader
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/roleEligibilitySchedules/read;Directory Reader
I need to read the eligible members of Microsoft Entra roles.;microsoft.directory/roleEligibilitySchedules/read;Directory Reader
I need to read application role assignments of groups.;Directory.Read.All;Directory Reader
I need to read application role assignments of groups.;Directory.Read.All;Directory Reader
I need to read application role assignments of groups.;Directory.Read.All;Directory Reader
I need to read application role assignments of groups.;Directory.Read.All;Directory Reader
I need to read application role assignments of groups.;Directory.Read.All;Directory Reader
I need to read all properties for Defender for Cloud Apps.;microsoft.security/securitySolutions/read;Security Reader
I need to read all properties for Defender for Cloud Apps.;microsoft.security/securitySolutions/read;Security Reader
I need to read all properties for Defender for Cloud Apps.;microsoft.security/securitySolutions/read;Security Reader
I need to read all properties for Defender for Cloud Apps.;microsoft.security/securitySolutions/read;Security Reader
I need to read all properties for Defender for Cloud Apps.;microsoft.security/securitySolutions/read;Security Reader
I need to manage all aspects of Microsoft 365 Backup.;NONE;NONE
I need to manage all aspects of Microsoft 365 Backup.;NONE;NONE
I need to manage all aspects of Microsoft 365 Backup.;NONE;NONE
I need to manage all aspects of Microsoft 365 Backup.;NONE;NONE
I need to manage all aspects of Microsoft 365 Backup.;NONE;NONE
I need to read and update what's new messages visibility.;microsoft.directory/whatsNewMessages/read;Global Reader
I need to read and update what's new messages visibility.;microsoft.directory/whatsNewMessages/read;Global Reader
I need to read and update what's new messages visibility.;microsoft.directory/whatsNewMessages/read;Global Reader
I need to read and update what's new messages visibility.;microsoft.directory/whatsNewMessages/read;Global Reader
I need to read and update what's new messages visibility.;microsoft.directory/whatsNewMessages/read;Global Reader
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperty/update;Application Developer
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperty/update;Application Developer
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperty/update;Application Developer
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperty/update;Application Developer
I need to update extension properties on applications.;microsoft.directory/applications/extensionProperty/update;Application Developer
I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.;microsoft.directory/policies/crossTenantAccessPolicy/partners/update;Global Administrator
I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.;microsoft.directory/policies/crossTenantAccessPolicy/partners/update;Global Administrator
I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.;microsoft.directory/policies/crossTenantAccessPolicy/partners/update;Global Administrator
I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.;microsoft.directory/policies/crossTenantAccessPolicy/partners/update;Global Administrator
I need to update Microsoft Entra B2B collaboration settings of cross-tenant access policy for partners.;microsoft.directory/policies/crossTenantAccessPolicy/partners/update;Global Administrator
I need to read the group memberships on service principals.;Directory.Read.All;Directory Reader
I need to read the group memberships on service principals.;Directory.Read.All;Directory Reader
I need to read the group memberships on service principals.;Directory.Read.All;Directory Reader
I need to read the group memberships on service principals.;Directory.Read.All;Directory Reader
I need to read the group memberships on service principals.;Directory.Read.All;Directory Reader
I need to disable devices in Microsoft Entra ID.;microsoft.directory/devices/disable;Cloud Device Administrator
I need to disable devices in Microsoft Entra ID.;microsoft.directory/devices/disable;Cloud Device Administrator
I need to disable devices in Microsoft Entra ID.;microsoft.directory/devices/disable;Cloud Device Administrator
I need to disable devices in Microsoft Entra ID.;microsoft.directory/devices/disable;Cloud Device Administrator
I need to disable devices in Microsoft Entra ID.;microsoft.directory/devices/disable;Cloud Device Administrator
