request;permission;role;Candidate_Roles
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access;Reader and Data Access(3), Storage Account Key Operator Service Role(2)
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access;Reader and Data Access(3), Storage Account Key Operator Service Role(2)
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access;Reader and Data Access(3), Storage Account Key Operator Service Role(2)
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access;Reader and Data Access(3), Storage Account Key Operator Service Role(2)
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access;Reader and Data Access(3), Storage Account Key Operator Service Role(2)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner;Storage Blob Data Owner(3)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor;Storage Table Data Contributor(8)
