request;permission;role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need to list the access keys for the storage accounts.;Microsoft.Storage/storageAccounts/listkeys/action;Storage Account Key Operator Service Role
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
I need full permissions on containers.;Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor
I need to insert, merge, or replace table entities.;Microsoft.Storage/storageAccounts/tableServices/tables/entities/add/action;Storage Table Data Contributor
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;NONE
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;NONE
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;NONE
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;NONE
I need to get a virtual network subnet definition.;Microsoft.Network/virtualNetworks/subnets/read;NONE
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
I need to perform Backup for Protected Item.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Operator
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Operator
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Operator
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Operator
I need to get Status of Policy Operation.;Microsoft.RecoveryServices/Vaults/backupPolicies/operations/read;Backup Operator
I need to restore Recovery Points for Protected Items.;Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action;Backup Operator
