request;permission;role
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listKeys/action;Storage Account Key Operator Service Role
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listKeys/action;Storage Account Key Operator Service Role
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listKeys/action;Storage Account Key Operator Service Role
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listKeys/action;Storage Account Key Operator Service Role
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listKeys/action;Storage Account Key Operator Service Role
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/write;Storage Table Data Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/write;Storage Table Data Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/write;Storage Table Data Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/write;Storage Table Data Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/write;Storage Table Data Contributor
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Reader
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Reader
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Reader
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Reader
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Reader
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to get Status of Policy Operation.""";Microsoft.Authorization/policyAssignments/read;Reader
"""I need to get Status of Policy Operation.""";Microsoft.Authorization/policyAssignments/read;Reader
"""I need to get Status of Policy Operation.""";Microsoft.Authorization/policyAssignments/read;Reader
"""I need to get Status of Policy Operation.""";Microsoft.Authorization/policyAssignments/read;Reader
"""I need to get Status of Policy Operation.""";Microsoft.Authorization/policyAssignments/read;Reader
"""I need to restore Recovery Points for Protected Items.""";Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action;Backup Operator
