request;permission;role
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access
"""I need to list the access keys for the storage accounts.""";Microsoft.Storage/storageAccounts/listkeys/action;Reader and Data Access
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner
"""I need full permissions on containers.""";Microsoft.Storage/storageAccounts/blobServices/containers/*;Storage Blob Data Owner
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/blobServices/containers/blobs/write;Avere Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/blobServices/containers/blobs/write;Avere Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/blobServices/containers/blobs/write;Avere Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/blobServices/containers/blobs/write;Avere Contributor
"""I need to insert, merge, or replace table entities.""";Microsoft.Storage/storageAccounts/blobServices/containers/blobs/write;Avere Contributor
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Avere Contributor
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Avere Contributor
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Avere Contributor
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Avere Contributor
"""I need to get a virtual network subnet definition.""";Microsoft.Network/virtualNetworks/subnets/read;Avere Contributor
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to perform Backup for Protected Item.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action;Backup Operator
"""I need to get Status of Policy Operation.""";Microsoft.DataProtection/backupVaults/backupPolicies/operationResults/read;NONE
"""I need to get Status of Policy Operation.""";Microsoft.DataProtection/backupVaults/backupPolicies/operationResults/read;NONE
"""I need to get Status of Policy Operation.""";Microsoft.DataProtection/backupVaults/backupPolicies/operationResults/read;NONE
"""I need to get Status of Policy Operation.""";Microsoft.DataProtection/backupVaults/backupPolicies/operationResults/read;NONE
"""I need to get Status of Policy Operation.""";Microsoft.DataProtection/backupVaults/backupPolicies/operationResults/read;NONE
"""I need to restore Recovery Points for Protected Items.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/read;Backup Operator
"""I need to restore Recovery Points for Protected Items.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/read;Backup Operator
"""I need to restore Recovery Points for Protected Items.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/read;Backup Operator
"""I need to restore Recovery Points for Protected Items.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/read;Backup Operator
"""I need to restore Recovery Points for Protected Items.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/read;Backup Operator
"""I need to query table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Contributor
"""I need to query table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Contributor
"""I need to query table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Contributor
"""I need to query table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Contributor
"""I need to query table entities.""";Microsoft.Storage/storageAccounts/tableServices/tables/entities/read;Storage Table Data Contributor
"""I need to create a registered container.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/write;Backup Operator
"""I need to create a registered container.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/write;Backup Operator
"""I need to create a registered container.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/write;Backup Operator
"""I need to create a registered container.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/write;Backup Operator
"""I need to create a registered container.""";Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/write;Backup Operator
